snapshot_date,accuracy,f1_score,roc_auc_score
2023-07-01,0.809433962264151,0.5877551020408164,0.8232600732600732
2023-08-01,0.7924151696606786,0.6119402985074627,0.7906171638160111
2023-09-01,0.7885375494071146,0.6192170818505338,0.8001184323858741
2023-10-01,0.8019607843137255,0.5877551020408164,0.8101602708361871
2023-11-01,0.8234165067178503,0.6461538461538462,0.8584692455459716
2023-12-01,0.7949709864603481,0.5470085470085471,0.8062235881674992
2024-01-01,0.7749469214437368,0.5826771653543307,0.7922744928787225
2024-02-01,0.8066528066528067,0.6172839506172839,0.8293786023812529
2024-03-01,0.8061674008810573,0.5849056603773585,0.8140724946695097
2024-04-01,0.8049281314168378,0.592274678111588,0.8217237569060774
2024-05-01,0.7922606924643585,0.5952380952380952,0.7943292339844064
2024-06-01,0.8016359918200409,0.6196078431372549,0.7991104667110781
2024-07-01,0.7731958762886598,0.56,0.7864939719778429
2024-08-01,0.7972972972972973,0.5977011494252874,0.7848616535563011
